天赋,训练量,表现
0.730657,0.113706,0.400393
-0.388088,0.135025,-0.199207
-1.267459,-1.692147,-1.161099
-1.603772,-0.824116,-0.573018
0.209570,0.410052,0.764803
0.072626,1.058033,0.018401
-0.554313,0.134724,-0.271999
-0.467456,-0.145194,-0.272851
0.388487,0.951507,0.865217
1.390546,1.242834,0.783725
-0.780145,-0.776136,-1.300773
0.088903,-0.510071,0.121556
0.958270,0.386106,0.447236
-0.776114,-0.563317,-1.094658
-0.015632,0.076567,-0.291405
-0.037996,-1.094195,-0.554573
-1.311295,-1.027687,-1.387894
0.168499,0.132240,0.219231
0.031545,0.295850,-0.103490
0.555084,1.201959,0.419949
-1.186886,-0.737994,-0.490237
0.009970,-0.447802,-0.145236
1.381734,0.058174,0.487473
2.077500,1.797755,1.753245
1.280129,0.461547,1.228450
-1.177072,-0.390532,-0.527689
0.451053,1.014447,1.133133
-0.483147,-1.110240,-1.034510
0.283901,0.475677,0.414166
-0.772217,0.105760,-0.124771
-1.713473,-0.689912,-1.264357
-0.344517,-1.289352,-0.940078
0.722603,0.078996,0.161355
0.288000,-0.438490,-0.028177
0.402948,0.543800,0.091041
0.216350,0.358109,0.472996
0.404527,-1.065777,-0.384441
0.529512,0.220242,0.282958
-0.274681,0.208083,0.149832
0.082891,0.132011,0.002881
1.743258,1.293414,1.272313
0.142031,-0.083075,0.170085
0.042563,-0.499676,-0.106676
0.102885,0.063491,-0.072933
-0.217909,-0.126489,-0.340973
-0.435356,0.002878,-0.227308
0.208679,0.494325,0.214465
-0.505715,-0.311070,0.068608
-0.145515,0.445594,0.304093
-0.790515,-0.740823,-0.756319
0.108012,-0.646404,-0.624455
0.584195,0.647463,0.843853
-0.211915,-0.085151,-0.319338
-2.008378,-1.157399,-1.693615
0.590372,-0.218966,0.336554
0.120184,0.979527,0.751986
-0.993231,-0.340011,-1.352333
0.773270,0.397291,0.500351
-1.398425,-1.446624,-1.389689
1.045408,1.270362,1.078501
-0.057367,-0.591042,-0.329462
-2.268865,-0.457523,-1.724966
0.178330,-0.181772,-0.887037
-0.406192,0.575918,-0.109567
-0.556849,-0.482031,-0.427284
-0.737726,0.273965,-1.098198
-0.127216,-0.456485,-0.577841
-0.485189,-0.330214,-0.969032
-1.856690,-0.897309,-1.353848
1.272068,1.221486,1.829089
-0.244358,0.379331,0.064702
-0.731935,-0.756091,-0.778679
-1.128424,-0.747492,-0.648096
0.770732,1.163707,1.012909
-1.298432,-1.261530,-1.340788
0.133987,0.380062,0.559626
-0.583649,-0.518134,-0.402774
-0.525420,-0.264857,-0.282494
-1.103560,-0.730217,-0.921188
-0.620319,-0.828365,-0.848966
0.008812,-0.124178,0.204169
0.235312,0.237185,0.135497
-0.785592,-0.601277,-0.305627
-0.090934,0.722714,0.083111
0.888454,1.126896,1.461654
-1.662629,-1.018850,-1.134749
-0.006269,-0.385961,-0.524645
-0.950784,-1.077560,-0.874156
-1.052684,0.250027,-0.466149
0.261012,-0.322235,-0.078908
-0.545251,-0.324746,-0.558936
-1.216803,-0.671288,-0.929368
1.324283,0.771336,1.274944
0.920090,0.142961,0.609366
-1.932306,-1.745062,-2.157569
-1.474428,-1.305352,-1.693411
0.593457,0.060674,0.355020
-0.284874,0.464449,0.267676
1.500575,1.045839,1.025400
0.616336,0.169535,0.825650
0.299466,0.263105,0.521698
-1.021863,-0.381326,-0.825214
0.491440,0.171698,0.082919
-1.275764,-0.442044,-0.843876
1.305245,0.278098,0.589400
0.422139,0.881149,1.074392
-0.824831,-0.581858,-0.383690
0.804677,0.539268,0.655953
2.241525,1.222560,1.833518
-0.217617,-0.766257,-0.299908
0.550413,-0.448047,-0.031185
-0.431829,-0.683669,-0.462147
0.085352,0.353583,0.424547
-1.507235,-1.535703,-1.378034
-0.000530,-0.774595,-0.698610
0.043577,-0.424029,-0.440299
1.798998,1.066882,1.273150
-1.795003,-1.429253,-1.787552
-0.280883,-0.261065,-0.710922
1.288117,1.417985,1.568824
-0.241771,0.455387,0.280446
-0.171342,0.882792,0.059329
-0.833259,-1.395735,-1.243020
-0.932605,-1.080766,-1.076787
-1.825854,-0.928855,-1.233071
-0.629215,-0.667466,-0.976743
-0.989355,-0.262155,-0.959233
0.118039,0.186184,0.314843
-0.787668,0.238234,-0.632315
-0.479591,0.185644,-0.150249
-0.452205,0.213965,-0.150327
-0.048165,-0.239651,-0.200042
-0.528522,-0.418696,-0.386811
-1.061786,-0.895877,-0.482669
0.085766,-0.692910,-0.861287
1.067483,1.483123,1.579841
0.128466,0.462620,-0.424689
-0.609820,-0.599388,-0.185448
-0.123146,0.566094,-0.322463
-2.050633,-1.750627,-1.139711
-0.139403,-1.016649,-0.782681
-0.400354,0.223437,0.361035
-0.933460,-1.292702,-0.823759
-0.752098,-0.624357,-0.806400
-0.410235,-0.184103,-0.382480
0.992458,0.887453,0.678308
1.092060,1.188643,1.386221
-0.928125,-0.359262,-0.713848
-0.518077,-0.087708,-0.505551
-0.492590,-0.740189,-0.479966
0.809546,0.713804,0.482947
0.145507,-0.650920,-0.431044
0.092790,0.846022,0.576861
0.536263,-0.325899,-0.173763
-0.596413,-0.590709,-0.740456
1.363887,0.295283,1.183220
-0.001745,-0.366304,-0.281751
-0.855912,-0.592425,-0.805708
-0.229640,-0.425127,-0.399470
1.231928,1.434473,1.489792
-0.425142,-0.184149,-0.590705
0.949558,0.433236,0.767929
-0.625346,-0.504533,-0.476112
-0.765664,0.073886,-0.798531
0.659597,0.916154,1.351808
-0.873973,-1.181166,-0.620045
0.822540,0.235452,0.230119
0.351626,0.483533,0.094042
-0.873594,-0.434832,-0.541922
-0.071443,-0.575201,-0.801456
-0.548774,-0.009579,0.184028
0.348977,-0.201153,-0.121638
1.887798,1.973372,2.425685
-0.370705,0.005231,-0.392464
0.533776,-0.192319,0.064459
0.024441,-0.247430,0.241482
0.024058,-0.256390,-0.241183
-0.165205,-0.035705,-0.005878
-0.857417,-0.702181,-0.436478
0.335140,-0.338146,-0.235646
-0.288742,-0.899249,-1.033568
-0.904800,-0.358848,-1.014842
1.014173,0.853040,1.092523
0.099010,0.122076,0.229483
-0.228099,-0.024303,0.212677
1.340057,0.628580,0.830957
-1.836082,-1.193261,-1.879610
1.272821,2.160227,1.099439
-0.880188,-0.028848,0.491005
0.211533,0.003869,0.245011
-0.588064,-0.673331,-0.598186
-0.923001,-2.076320,-1.531401
1.313887,1.454068,0.968594
1.856217,1.692654,1.519618
-0.221226,-0.426772,0.178446
0.335475,-0.481022,0.043081
0.056991,-0.537740,-0.528927
1.730507,1.433554,1.184290
-2.113150,-1.523876,-1.914294
0.377123,0.609782,0.422090
-0.727126,-0.465767,0.044433
-2.355964,-1.165795,-1.698343
-0.360530,-0.067583,-0.541628
1.848049,1.708032,1.746458
-0.656049,-1.504076,-1.085564
0.790766,-0.063637,-0.106040
1.198672,0.656895,0.994255
-0.012697,0.530897,0.676134
0.120456,1.024584,0.704534
-1.716298,-1.283526,-1.695755
-0.716164,-0.807105,-0.929390
0.907008,-0.342579,-0.340395
0.060679,0.474257,0.268675
0.367341,-0.017956,0.229397
0.133158,1.572378,0.727700
2.192004,1.164701,2.157532
-0.430520,0.751274,0.516240
1.605410,1.497971,1.003113
0.133503,-0.420680,-0.730685
1.694199,1.302011,1.163679
-1.224978,-0.471794,-0.301112
0.184652,0.016630,0.351116
-0.393687,0.143411,0.415685
0.139472,0.505609,0.362217
1.222376,1.153833,1.118403
0.378810,0.256930,-0.068571
1.220383,0.266798,0.753137
-0.670221,-0.507547,-0.631467
-0.822834,-0.487952,-0.692307
0.016105,-0.926752,-0.064194
-0.038652,0.057561,-0.018828
-0.185859,-0.178502,0.217849
-0.958632,-1.319355,-1.651488
1.198652,0.672553,1.689426
-0.362837,-0.409909,-0.503062
1.426078,1.963302,1.960568
0.012743,0.118980,0.336367
0.648429,0.971923,0.693318
0.557710,0.331489,0.667686
-0.824275,-1.513951,-0.976779
0.367203,0.593213,0.288866
1.928333,1.020740,1.173387
0.251612,0.008329,0.119234
0.901277,0.104408,0.388507
0.693272,0.521674,1.008252
0.307050,0.747524,0.782135
0.186479,0.596904,0.411607
0.547316,1.176216,1.106479
0.763283,1.398278,0.530284
-1.352164,-1.969452,-1.907130
0.247303,-0.423698,-0.068951
-0.184078,-1.032950,-0.358792
-0.391527,0.041896,-0.071542
1.295964,0.560634,1.292238
-0.733146,-0.757793,-0.487552
-1.394769,-1.084637,-1.355189
0.795716,0.748287,0.725249
-1.420394,-1.736936,-1.487793
-1.927943,-1.978992,-2.093163
0.908268,0.636435,1.204555
0.158722,0.710479,0.157158
0.472720,0.318205,0.474843
-0.442428,-0.705529,-0.379654
-1.384406,-2.043189,-1.873710
-1.185787,-0.353713,-0.848183
-0.272189,-0.558498,-0.466799
-1.272403,-1.464400,-1.144002
0.307053,-0.642726,-0.412769
-0.462458,-1.043271,-1.131622
0.185036,-0.351082,0.208541
0.155148,-0.010821,0.175356
0.386800,-0.333611,0.256910
0.499483,0.442492,0.693088
-0.343901,-0.363954,0.298034
0.183969,1.239775,1.151944
0.236008,-0.687016,-0.535030
-2.428890,-1.619484,-1.802166
0.646526,0.539571,0.415106
0.149942,-0.410319,-0.322452
0.564049,0.442460,0.067346
-1.286844,-0.515993,-0.910167
-0.315773,-0.172795,-0.066476
-1.091529,-0.071839,-0.499522
0.744601,-0.567623,-0.372544
-1.405117,-1.404698,-1.861771
-0.928655,0.087470,0.314574
0.534314,0.830033,0.809294
-0.629375,-0.170306,-0.601154
-0.928391,-0.033266,-0.252781
0.906719,-0.323575,0.825298
0.947712,1.061204,1.201946
0.722071,1.037635,0.075289
0.848710,0.264747,1.294019
-0.231579,1.152513,0.044102
-0.204593,-0.045041,-0.170665
-0.648081,-1.550041,-1.529279
0.167729,0.308046,0.029919
-0.527898,-0.729459,-0.563512
-0.433066,0.279351,-0.626923
0.599900,0.693902,0.629228
1.184539,0.530216,1.136148
0.398260,1.030008,0.524337
1.794316,1.725747,1.336089
-0.705516,-0.907821,-0.868690
-1.837975,-1.362605,-1.654255
0.714628,0.758698,0.562502
-0.771834,-0.722415,-1.098686
-0.273692,-0.358784,-0.168992
-1.769797,-1.220495,-1.261637
-0.899210,-1.162346,-1.376786
-1.502227,-2.167942,-2.179832
-0.434303,-0.184445,-0.243441
-0.394551,-1.270636,-1.209694
0.089960,-0.433547,-0.170545
1.239723,-0.017985,0.925512
0.676906,-0.350388,0.042583
-1.622170,-0.922341,-1.566357
0.608015,0.314457,0.549511
0.111755,-0.050972,-0.039178
-0.097826,-0.726429,-0.520035
-0.022700,-0.343814,-0.072771
0.204552,0.331414,0.487981
-0.691887,-0.510364,-0.572323
-0.182351,0.283691,0.079070
1.183939,1.311303,1.879420
-0.703906,-0.618844,-0.292703
-1.029888,-1.647046,-1.150119
-0.061707,-0.421518,-0.238232
-1.130566,-0.840241,-1.258094
-1.722783,-1.594192,-1.307412
-0.344467,-0.768439,-0.555562
1.448622,1.048911,1.035645
-0.038604,1.188129,0.624493
0.178577,-0.119090,-0.289878
-2.130148,-1.492507,-1.430365
0.438125,-0.349330,0.170563
0.093366,0.687057,0.504070
-0.664915,-0.028069,-0.295643
0.180050,0.528902,0.185161
0.170122,0.798983,-0.091583
-1.059488,-0.955312,-1.420861
0.331854,0.081089,-0.041399
1.197135,1.692934,1.226725
-0.227941,0.156805,0.089715
-0.867594,-1.716927,-1.133746
-0.177580,0.103104,-0.047701
0.854613,0.307380,0.948948
-1.226319,-0.409337,-0.970999
0.578558,0.609086,0.556214
-0.678014,-1.344882,-1.093431
0.242063,0.303859,0.606797
-0.564331,-0.289718,-0.367797
-0.567017,-0.215181,-0.315844
1.523095,1.353931,0.925144
-1.409087,-0.238378,-0.976633
0.485366,0.546701,0.850953
1.731324,1.223376,0.803953
0.685522,1.053849,1.309416
-1.331097,0.189602,-0.268778
-1.281581,-0.439571,-1.000631
-0.751625,-0.423035,-0.804086
0.157908,0.326801,0.828030
0.225943,0.286182,0.685508
-1.271697,-0.880928,-1.073068
-0.872757,0.471655,-0.025732
-0.811482,-0.942564,-1.083986
-0.180747,0.450930,0.238695
1.984695,1.326358,1.387522
-0.933187,-1.393441,-1.232902
-0.976958,-0.778029,-0.314502
-1.133140,-1.066586,-1.121892
0.635545,0.733670,0.380013
-0.041342,0.016711,-0.416422
-0.896227,-1.138372,-1.003379
-0.362796,0.481547,-0.084459
-0.791510,-0.008990,-0.248017
0.295891,1.000152,0.232597
2.684377,1.997546,2.479353
0.550864,0.367739,0.122939
-0.092989,0.286688,0.148707
-0.664975,-0.754220,-0.820013
-1.343400,-0.875350,-0.547054
0.733690,0.425744,0.600369
0.679354,-0.254969,0.702402
-0.466101,-0.262543,-0.175743
1.213334,0.628850,1.290266
0.021107,-0.106501,-0.118097
0.774761,0.724225,0.848090
0.296197,0.843604,0.990235
-0.177136,-0.548380,-0.128394
-0.954885,-0.836698,-0.724675
-0.145537,-0.484417,-0.447245
0.842051,0.174345,0.393794
-0.508135,-0.652979,-0.253743
0.439741,0.209594,0.705426
-1.082736,-0.464979,-0.889941
0.780058,0.706264,0.512654
0.312941,-0.309370,-0.331685
-1.202111,-0.194397,-0.348573
-0.224015,0.315396,-0.179211
0.931441,0.201416,0.738707
-1.259033,-0.269267,-0.501466
-1.070950,-0.586196,-0.943625
-0.069497,-0.126876,0.365234
2.133331,1.672372,1.418078
-0.672578,-0.483690,-0.061385
0.495274,0.619231,0.665314
0.260135,0.275753,-0.352534
-0.589520,-0.581377,-0.107070
0.161133,-0.900120,-0.183955
-0.447835,-0.049893,-0.337533
-0.357805,-0.437291,-0.694913
-1.661272,-0.773917,-1.599579
-0.024436,0.223732,0.849099
0.899094,0.455533,0.355943
0.057426,0.551692,-0.025091
1.090508,0.865776,1.036045
0.580327,0.488051,0.033593
-0.059541,-0.110734,-0.384722
-0.627926,0.402230,0.288659
-0.486264,-0.697018,-0.473453
-1.470510,-1.190695,-1.418532
-0.267079,-0.805623,-0.584713
0.145999,0.465565,0.204997
1.715421,0.909720,1.213401
0.528320,0.134806,0.063669
-0.864854,-0.863866,-1.038333
-1.439368,-0.976197,-1.344669
-0.206552,-0.769966,-0.762359
0.811764,-0.553388,0.305847
-0.220616,0.074421,0.187441
0.541984,-0.677390,-0.469349
-0.181125,0.300281,-0.250600
0.717000,1.281164,1.008316
-1.597258,-1.200193,-0.712432
1.604182,1.772674,1.396966
-1.112483,-0.790867,-0.967881
0.793732,1.355233,1.157249
-0.272184,-0.418638,-0.392649
-0.115828,-1.263520,-0.941906
-0.241102,-0.208727,0.124847
0.255605,1.032905,0.858322
0.457525,0.587751,0.789402
1.058362,0.483191,0.890073
1.407949,1.150015,1.521373
0.331822,0.717838,1.038753
1.713674,1.156764,1.778841
0.092973,1.378276,1.561596
1.077440,0.495499,1.093478
0.428720,0.801359,0.451469
-0.549205,-0.003475,0.032427
0.181234,-0.223050,0.151794
0.503172,0.140000,0.861357
-0.032198,0.486511,-0.011120
0.412857,0.361394,0.549364
0.865363,0.774790,0.606698
-0.023373,-0.834345,-0.356193
-2.943888,-1.732722,-2.281612
1.678270,1.318438,1.606211
-0.297591,-0.240269,-0.686299
-0.823280,-0.395850,-0.328854
-1.124110,-0.991486,-0.982718
-0.336446,-0.531463,-0.407799
-0.562748,-0.514866,0.051050
-0.737009,-0.748008,-0.858354
-0.682126,0.612776,0.197495
0.529743,0.826755,0.738032
2.030363,0.937020,1.433769
0.820572,1.592548,1.950299
1.122598,0.569390,0.809816
-0.377410,-0.249459,-0.470824
0.104665,0.521974,0.916322
0.426482,-0.686457,-0.333588
-0.659558,-0.580203,-1.093499
-0.425730,-0.584678,-0.743352
0.854552,0.700726,0.388280
1.090293,0.948230,0.465065
0.067410,0.008558,-0.076806
-1.195157,-0.898434,-1.038188
-0.295592,0.325651,0.431312
-1.441331,-0.858189,-0.902625
0.075202,0.073354,0.249244
0.255403,0.252717,-0.014171
-0.270710,0.728447,0.594264
0.241711,0.255535,0.667375
0.416901,0.034607,0.305896
0.256862,-0.774696,-0.235318
-1.201530,-1.558040,-1.794844
-0.253264,-0.410798,-0.031454
0.409843,0.232702,0.837807
1.578712,0.827288,1.224743
-0.271926,-0.014776,-0.295943
0.550840,0.101334,0.232538
0.878152,0.157462,0.319612
-0.196628,0.168683,-0.085576
1.148408,1.488583,1.546908
1.202174,0.287938,0.737471
1.380385,1.088127,1.506211
0.458432,-0.631600,-0.084316
2.360137,0.914827,1.233725
-0.615283,-0.725081,-0.831370
2.124078,2.054310,1.913364
0.768299,0.148457,0.340453
1.340387,0.530221,1.392702
-0.320038,-0.205983,0.334865
0.844475,0.609674,0.954575
1.426974,0.606316,0.970209
-1.087359,0.231960,-0.704263
-0.163326,-0.247010,-0.147534
-2.141253,-1.442084,-1.958754
-0.178333,-0.325723,0.222390
-0.816008,-0.351220,-1.018967
-0.217768,0.465041,0.307263
2.923643,2.878382,2.634215
1.717804,0.821330,1.177065
-1.439448,-0.457216,-0.650288
0.555738,0.663857,0.927200
0.798931,1.046520,0.929277
-0.337897,-0.282468,-0.076274
0.178308,0.031295,-0.108641
0.275982,0.661045,0.580681
-1.346611,-0.465282,-0.517151
-1.031329,0.060930,-0.276344
0.172297,0.219881,0.042044
0.099403,0.016124,-0.034277
-0.708563,-1.725921,-1.014281
-0.794376,-1.361694,-1.462320
-0.089779,-0.259971,-0.475189
0.886151,0.069776,0.576803
-0.076486,0.353525,0.049778
1.622731,0.480901,0.501716
-0.695821,-0.737727,-0.315719
0.193110,-0.095836,-0.310138
-0.354295,0.354365,0.011072
0.587961,0.107453,0.113800
-0.781588,-0.320905,-0.594483
1.927398,1.447031,1.373792
-1.690612,-0.731784,-0.901032
1.715480,1.625944,1.695005
0.089988,0.046272,0.358855
0.552425,-0.461450,-0.238651
1.334525,0.818297,1.664695
0.857661,0.590385,0.125901
-0.730027,-0.368014,-0.988360
0.600090,0.051285,0.796732
1.867474,1.877682,2.015811
-0.887292,-0.614294,-0.621078
2.118429,1.022651,1.590345
0.385702,0.040878,0.350170
-0.433228,0.661012,0.313246
-0.893289,-0.293114,-0.822955
-0.223287,0.367927,0.376899
-1.955278,-1.889488,-1.717601
-0.415244,-0.635086,-0.118620
-0.262927,-0.524760,0.109245
-1.074414,-0.659893,-0.726558
0.747845,0.436491,0.192768
-0.218766,-0.397884,0.205520
-0.635795,-0.627091,-0.936017
-0.325334,-0.624751,-0.403595
0.355107,0.158656,0.160216
0.073221,0.607863,0.264818
-0.700975,-1.247252,-0.799451
0.125653,0.261197,0.280318
-0.050676,0.654573,0.526446
-1.139464,-0.889219,-1.234023
-0.288505,-0.466391,-0.447459
0.579338,0.867653,0.521466
0.572138,-0.091614,0.114165
-0.229964,-0.172321,-0.231007
0.676773,-0.046181,0.796292
-0.979955,-1.621019,-1.442410
-0.948988,-0.740284,-1.461445
-0.251255,-0.807576,-0.166520
1.497566,1.042461,1.359281
0.163252,0.671791,0.429072
-0.275366,0.734372,0.199312
1.544138,1.127661,1.010174
-0.286938,0.308751,0.651890
2.234733,1.763795,1.967724
-0.511283,-0.549455,-1.055512
-1.011729,-1.670598,-1.308728
-0.166362,0.696793,0.713382
-0.249084,-0.698910,-0.472049
-0.807720,0.125981,-0.517977
2.601974,2.089786,1.997339
0.318627,-0.264968,-0.306726
0.464250,0.480974,0.930782
-0.461879,0.743140,0.239633
-0.577669,0.363458,-0.516610
1.025558,0.461534,0.802384
-1.675842,-1.529080,-1.545473
-1.142864,-0.749901,-1.041755
-0.247309,-0.255873,-0.558569
1.351047,1.545602,1.148612
-0.374517,0.107633,0.240763
0.416152,-0.554815,-0.092174
0.027729,0.248748,0.303933
1.296258,0.817835,1.082632
-1.584723,-1.090752,-1.190034
0.735963,0.639646,0.537654
-0.198899,0.460135,0.134773
0.924884,1.136315,1.401216
-0.819282,-0.948369,-0.472357
0.024393,-0.012231,-0.364209
-0.102507,-0.296015,-0.281090
-1.002435,-1.542628,-1.074765
-1.280413,-0.950974,-0.518126
-0.580411,0.516089,0.612077
0.129931,-0.765070,-0.645797
-0.756912,-0.541869,-0.245373
-0.330074,-0.259121,-0.269911
-1.885797,-1.176190,-1.146708
-0.370650,-0.740817,-0.356267
1.023587,0.003955,0.032619
0.705180,-0.195673,0.329661
-0.086922,0.604622,0.629713
0.243653,-0.320786,-0.101057
-0.828260,-0.829563,-0.902937
1.624439,2.189423,1.491930
2.067763,1.080306,1.680374
0.164824,0.286576,0.300500
2.590686,2.345386,2.166851
-0.680182,0.031732,-0.350785
-1.251079,-1.541544,-1.379007
-0.709624,-0.853413,-0.963488
-0.219490,-0.002461,-0.088470
2.312067,2.582955,1.949620
-0.281159,-0.577567,-0.054177
-0.859656,-0.848566,-0.848229
-0.898459,-0.419134,-0.940670
1.140022,1.107845,0.382803
0.997302,1.038238,1.330604
-0.485478,-0.763013,-0.484571
-1.875784,-1.579073,-1.634552
-1.128594,-0.682265,-0.601702
1.721244,1.836026,2.048383
0.688808,0.362923,0.551609
0.065461,0.034672,-0.029277
1.868833,0.795219,1.099522
1.958326,2.302442,2.291078
-0.035940,0.051974,0.435918
-0.017572,0.526577,0.278047
-0.582047,-0.392484,-0.025366
-0.284603,-0.156589,-0.095849
-1.486325,-1.790582,-1.554672
-1.490386,-2.118651,-1.145813
-1.722659,-0.579909,-0.541205
1.084337,0.798065,1.416157
-1.561402,-0.989767,-1.457705
1.949962,0.740447,1.881908
-0.730378,-0.962797,-0.894494
1.737350,1.747296,1.675070
-0.365054,0.614534,-0.425076
-1.566187,-1.406968,-1.372768
1.283779,1.234387,0.929137
1.401866,1.076318,1.329013
-0.906051,-0.694500,-1.127590
-0.331652,0.693823,0.822943
-0.905796,-0.860658,-0.713241
-0.120527,0.535988,0.957343
0.107829,0.266192,-0.104060
-0.351383,-0.254413,0.171553
-1.818891,-0.587215,-1.620700
-0.580879,-0.261548,-0.326858
0.703519,0.444249,0.358470
-0.208900,0.543491,0.108148
-0.327441,0.395423,-0.048672
-0.930777,-0.050562,-0.677063
-0.610051,-2.370938,-2.044490
1.408948,1.206352,1.154662
-1.139777,-0.691785,-0.836174
0.720823,0.487145,0.929724
0.047055,0.337828,0.310124
0.244811,0.301646,0.628874
-0.732356,-0.173746,-0.840643
-0.351777,-0.380225,-0.498737
-0.005720,0.745086,0.658065
-0.520667,0.025005,-0.090306
0.331432,0.503266,0.176180
0.457439,0.567060,0.803432
2.172707,2.099535,1.969422
0.278190,0.705577,0.301413
-1.912243,-1.394956,-1.455786
1.163019,1.309269,1.252620
-0.203871,-0.055683,-0.271832
2.011925,2.366811,2.057796
1.470924,1.578511,1.214537
-0.505267,-0.666492,-0.720727
0.721903,1.670687,1.621176
-0.593955,-1.466789,-1.044290
0.002691,0.320561,0.480991
0.675985,0.125066,0.500254
1.113000,1.720190,1.293640
0.895206,0.753047,0.315168
0.074990,-0.344405,-0.454703
2.483424,1.605149,1.755088
-0.365020,-0.612480,-0.738071
-1.607201,-1.277929,-1.115332
-1.414699,-1.154613,-0.967471
1.474008,0.656227,1.646903
-0.076653,0.081375,-0.210953
0.159057,0.306952,0.727029
-0.542524,-0.877920,-0.266381
-0.452702,-1.146026,-0.938376
-0.787096,-0.395489,-0.410065
0.471151,0.595766,0.918140
-0.097380,0.296942,0.121536
0.435005,0.580091,0.481139
0.339438,1.023965,0.561953
-0.425879,0.200419,-0.758112
-1.458731,0.318803,-0.371069
-1.545800,0.468264,-0.550322
3.026652,1.239605,1.631819
1.478173,-0.063848,0.679618
1.340183,0.934432,0.661339
-0.674607,-0.220109,-0.160084
0.009510,-0.031286,0.130112
-0.815363,-0.218964,-0.577581
-1.312082,-1.053579,-1.175973
-0.588774,-0.759117,-1.048046
1.326185,0.656884,1.149706
0.840745,0.488438,0.685570
-0.970048,-0.257277,-0.463831
-0.314816,-0.463742,-0.253604
0.749123,0.379902,0.334866
-0.570971,-0.114572,-0.752849
0.079586,-0.043688,0.292817
0.401847,0.839648,0.871144
0.390931,-0.186102,-0.115896
0.254145,-0.390280,-0.009777
-0.653697,-0.305274,-0.067251
-0.550975,-0.183538,0.011098
-1.133650,-1.226035,-1.358448
-1.561337,-0.421138,-1.323846
-0.114749,0.882144,0.088223
0.816260,0.257455,0.387459
-1.380282,-0.222547,-0.246946
0.272973,-0.999985,-0.709335
0.784631,1.087298,0.787333
-1.836734,-1.714595,-1.948524
-0.270581,0.298630,-0.088574
1.646210,0.671709,1.058142
0.551941,0.352115,0.048030
-1.870457,-1.714378,-1.451502
0.658339,0.353897,0.432228
-0.747737,0.391546,0.679573
0.691307,0.429946,0.182419
-0.690082,0.572094,0.544183
-0.053032,-0.230029,0.258173
-0.537543,0.369602,-0.116761
0.003158,-0.810636,-0.603637
-0.567280,-0.540351,-0.827512
-0.223538,-0.424532,-0.617081
-1.175605,-0.054071,-0.502866
0.490660,0.436086,0.464124
0.175285,-0.921342,-0.963398
-1.616532,-1.786637,-1.030544
0.992917,0.188711,0.432538
