二氧化碳,温度,海冰面积
-0.900973,-1.310806,-1.519678
-0.496241,-0.633363,-0.807991
-1.194281,-1.934053,-1.569298
-0.403237,-0.353510,0.096707
-1.124104,-1.868982,-1.872194
0.757908,1.196867,1.065589
0.479228,1.112870,0.906220
0.150229,0.175482,0.362589
-0.301942,-0.967646,-0.346155
-2.037687,-1.238524,-1.679412
-0.458207,0.608822,0.485565
-0.761457,-0.295152,-0.082577
0.247274,0.765584,1.093448
0.619707,0.191212,0.513187
0.324633,-0.208362,0.052067
1.263038,0.848696,0.872057
-0.568314,-1.361173,-1.481725
-0.609776,0.705201,0.095824
1.037878,0.796340,0.926656
0.166216,0.549738,0.363482
-0.246999,-0.403653,-0.161676
1.846521,0.521022,0.614969
0.577731,1.117319,0.846891
-0.190544,-0.695431,0.104955
-0.685945,-0.305742,-0.159143
1.326513,1.150101,1.405523
0.206997,0.181874,0.309128
0.024517,-0.375130,-0.324901
0.676276,0.398577,-0.016564
0.880088,0.141036,0.573795
0.549870,0.789498,-0.040882
0.883976,0.904556,0.798657
0.451374,0.305261,0.362608
0.554891,0.104248,0.150348
-0.731638,0.541512,0.683667
1.810354,0.616216,1.641174
-1.233677,-1.635880,-1.165155
0.309378,0.175561,-0.048510
-1.336767,-1.064761,-0.597139
-0.098129,0.480101,0.434500
-0.571294,-0.076847,-0.557220
0.135756,0.109792,0.129993
0.341758,0.489399,0.717915
-0.956334,-0.428351,-0.819208
-0.029414,1.031188,0.649107
1.393674,1.102254,1.313765
-1.312265,-1.259124,-1.610637
-0.854054,-0.498587,-0.721802
0.860755,-0.706811,-0.387424
0.077555,0.037965,0.314401
0.151155,0.652300,0.179425
1.022302,1.016704,1.106484
-0.794069,-0.406570,-0.978616
-0.519335,-0.038915,-0.571114
-0.642642,0.101779,-0.550554
-0.348203,0.468875,0.055171
1.339522,1.161393,1.286759
-1.701080,-1.348812,-1.380293
-1.194219,-1.992714,-2.204987
-1.365683,-0.466891,-0.877000
1.401694,1.238787,1.078778
-0.614400,-0.353750,-0.297757
-0.326674,-0.572697,-0.554579
-1.614634,-0.647668,-1.058704
-0.262386,-0.312288,-0.515812
0.866522,0.589354,1.217615
0.252957,0.149076,-0.194446
-0.107864,0.149421,-0.073413
-1.564886,-1.669736,-1.595516
-0.327952,0.051709,-0.175563
0.146915,-0.257604,-0.324977
-0.991825,-1.037179,-1.562543
0.654891,0.901044,0.595130
0.885069,0.122034,0.139432
-0.528649,0.071667,0.335308
0.725832,0.558766,1.305001
-0.109740,-0.900956,-0.599707
1.147138,1.485235,0.928569
2.034151,1.579032,1.982493
-1.093665,-0.568503,-1.072891
0.769484,1.042260,0.768399
1.304965,1.663086,1.331182
-0.970680,-0.578963,-0.885802
-0.575121,-0.093941,-0.392829
-0.586377,-0.224871,-0.763524
-0.132781,-0.264381,-0.422345
-0.356366,-1.041174,-0.461267
-0.198285,-0.031338,-0.108184
0.837988,1.276061,1.138426
-1.895812,-1.035402,-2.049240
-0.973893,-1.215437,-0.834484
0.669928,1.017710,0.672942
0.552776,0.232208,0.697626
-1.058542,-1.786992,-1.449330
0.559702,0.900743,0.595711
1.326867,0.456117,0.301080
-0.049027,0.856046,1.146471
-1.007961,-0.131686,-0.241222
0.874954,0.498568,0.908045
1.723045,1.435812,2.096354
-0.886140,0.591661,0.067767
0.039252,0.527480,0.737909
1.090156,0.882209,0.821815
0.115359,1.525328,1.182614
-1.747296,-1.164317,-1.586538
0.443418,0.601300,0.386989
-0.978809,-1.153273,-1.054387
-1.270723,-1.726865,-1.924628
-1.727748,-1.353325,-1.404267
1.190407,0.852489,0.894069
-0.834711,-0.419666,-1.181952
0.333336,-0.476550,-0.289894
0.578954,0.735605,0.569429
0.161819,-0.301919,0.139427
0.296571,0.511967,0.511368
0.381048,0.734197,1.027179
0.138098,-0.101086,0.150620
-0.760160,-1.014021,-1.078665
-0.849337,0.177289,-0.250869
-0.104982,0.362969,0.071374
-0.126164,-0.012327,0.088530
0.429320,1.034738,0.810517
1.101650,0.812786,0.739764
0.343905,-0.069520,0.098430
-0.810884,-1.068470,-0.827081
-2.181156,-1.580709,-2.122814
-0.768937,-0.152396,-0.303910
-1.344490,-0.246264,-1.159159
-0.730372,-0.499505,-0.260181
0.242277,0.776156,0.720759
0.084391,-0.048061,0.493704
1.858178,0.909925,0.954247
0.483082,-0.315000,0.344268
1.909167,1.083297,1.694379
0.715139,-0.133731,0.151147
1.085707,1.764751,1.380140
-0.358902,-0.031583,-0.488055
-1.074509,-0.799964,-1.313525
-0.448960,0.546729,-0.076917
-0.011870,-0.659442,-0.777146
-0.628159,-0.508283,-0.077516
-1.001142,0.299037,-0.671650
0.416838,0.219766,0.343263
-1.005397,0.519629,0.040330
-1.533492,-0.680642,-0.914532
-1.122086,-0.132497,-0.394746
-0.234355,0.503399,0.492217
-0.990919,-0.692842,-0.945850
-0.228090,-0.403769,-0.307232
0.600444,0.362591,0.369664
0.574443,-0.091356,0.565721
-0.660826,-0.495560,0.068294
-1.303942,-0.914962,-1.428734
-0.575623,0.441681,-0.574571
0.655645,0.755589,0.886351
0.889196,1.803746,1.759038
0.352890,-0.832749,0.228600
1.201436,0.232483,0.841432
1.729202,1.032769,1.730076
-0.483228,0.407988,0.549520
1.486563,0.985806,1.625542
-0.260550,-0.916298,-0.389651
1.019849,0.591332,0.378076
0.708572,-0.102798,0.219241
-1.977058,-2.080754,-1.949264
-0.966227,0.323055,-0.222601
-1.221288,-1.030706,-1.118371
-1.782047,-1.160856,-0.939164
0.879315,0.569042,0.466102
2.068772,1.322392,1.860660
-0.257673,-0.600701,-0.368557
0.854157,0.442592,0.349958
1.484625,1.207855,0.995583
0.208332,0.855150,0.086028
-0.025313,0.455999,0.409147
-0.245688,-0.781515,-0.586158
0.537559,0.870557,0.489625
0.874694,0.850005,0.297049
0.461805,0.010903,0.321077
0.427463,0.390273,0.353031
-0.051203,0.250302,-0.084408
-1.592955,-1.091542,-1.581319
0.897716,0.868523,0.808628
-1.284625,-1.330713,-1.171279
0.619386,1.429986,1.006751
0.755737,-0.435627,-0.315639
-1.140432,-0.509377,-0.779236
-0.607801,-0.242079,-0.074703
2.121475,1.806504,1.944572
-0.079482,-0.409823,-0.257159
-1.220214,-0.269551,-0.747517
0.800879,0.506625,0.357428
-0.772675,-1.133980,-1.266327
-1.920524,-1.891772,-2.401829
0.519770,0.426191,0.817990
-0.916618,-1.439893,-1.091847
0.321188,1.125085,0.828272
-0.812690,-0.044422,-0.263055
0.707204,1.408465,1.229820
0.183498,0.989161,0.446532
-2.589209,-1.988399,-2.326302
0.382013,-0.167256,-0.089811
-0.289731,-1.541698,-0.287484
1.416718,0.788585,1.345899
0.395208,1.159472,0.904131
0.756158,0.115385,0.781490
-0.710541,-0.602339,-0.273713
-0.790068,-0.830333,-1.228384
-0.025649,0.169543,0.024610
-0.360616,0.390611,0.085223
1.338009,0.167001,0.818863
-0.153319,-0.781211,-0.597252
-1.224822,-0.114065,-0.587927
-0.827581,-0.212773,-0.597101
0.965051,0.545845,1.028208
-0.167257,0.736461,-0.058028
-0.220712,-0.837013,-0.718699
1.060188,1.207738,0.595615
-0.914763,-0.674453,-1.079469
-2.235176,-1.261351,-1.555728
-0.852867,-1.790583,-1.314650
0.242089,0.039111,0.026345
-0.249512,0.193740,0.353635
-1.560430,-1.123966,-0.892338
1.016060,1.338891,1.188990
0.163497,0.725350,0.575739
0.389015,-0.206972,-0.104340
0.419610,0.705724,0.779345
-1.298524,-1.405298,-1.720807
0.302879,0.239023,0.803316
0.907454,0.963282,1.282946
1.140310,0.380576,0.324792
0.721263,0.898347,0.590808
0.513130,0.106513,0.395534
-1.737421,-1.506544,-1.700370
-0.014935,0.342871,0.363129
-0.956574,-1.087589,-1.143002
1.282168,0.454100,1.242771
1.130379,1.311844,1.241750
-0.950529,-0.611092,-0.020700
-0.045978,-0.759244,-0.293135
0.248509,0.601777,0.055649
0.900791,0.427253,1.242617
-1.675618,-1.874439,-1.465307
-2.209622,-2.800393,-2.450041
0.038149,0.478411,0.496296
-2.531417,-2.201951,-2.690451
0.158572,-0.510922,-0.784437
0.592208,0.734247,0.664906
1.236080,1.268152,1.668954
-0.622568,-0.829349,-0.627924
0.161182,0.569147,0.918713
0.651510,1.483503,1.547072
-1.175720,-0.149672,-0.553909
0.915348,1.236272,1.463029
0.274342,0.349104,0.775978
-0.605446,-0.645672,-0.653636
0.141381,0.071023,0.035034
-0.139334,0.122837,0.060103
0.780074,-0.082704,-0.461165
-0.360460,-0.637013,-0.442262
0.227090,-0.554912,-0.025979
-0.620932,-0.317059,-0.395255
-0.937843,-0.614963,-0.640713
0.171533,-0.206281,-0.068199
-0.896768,-0.217488,-1.088306
0.800580,0.038106,0.841874
0.592233,0.069645,0.168332
-0.765114,-0.145317,-0.578567
0.213780,0.614054,0.861340
-0.769700,-0.936653,-0.576262
-1.604313,-1.006998,-1.164004
-0.597225,-0.807461,-0.492556
-0.050317,-0.133892,-0.446958
0.521409,0.436905,0.446438
0.149480,0.384819,0.679119
0.907675,0.794152,0.636418
-0.981166,-0.550235,-1.022108
-0.376698,-0.802938,-0.608861
1.644367,1.345195,1.495481
-1.931080,-1.076223,-1.223894
-0.451954,0.028099,-0.577368
-1.071494,-1.109806,-1.859294
-0.195398,0.321014,0.390819
-0.434447,-0.962731,-1.076312
0.602155,0.206100,0.181525
0.255521,0.041105,-0.528099
-1.305618,-1.545137,-1.142455
-0.588162,-0.557069,-0.464405
-0.000117,0.110659,0.159407
0.739381,-0.395319,0.149597
2.432956,1.505725,1.258569
0.702796,-0.382243,-0.243778
-1.012500,0.312019,-0.353306
-0.093845,0.040554,-0.237829
0.180976,0.189598,0.104696
-0.519391,-0.247537,-0.282419
0.470258,0.631441,0.868899
-2.271377,-1.100887,-2.013144
0.553150,-0.394572,-0.018134
-0.476387,0.321618,0.215879
-0.109705,0.546119,0.006564
1.465723,0.992833,1.124139
-1.261517,-0.942426,-0.930097
0.272719,-1.360477,-0.703836
0.793922,-0.066250,0.480078
0.170336,0.378660,0.323740
-1.614192,-0.529626,-1.057011
1.350397,1.309696,0.974163
-0.211354,-0.185805,-0.121874
-0.527541,0.593658,0.175170
-0.310483,0.285250,-0.250893
-0.382146,-0.464416,-0.256891
-1.190180,0.257930,0.059063
0.164951,-0.432618,-0.391619
-0.597233,-1.153983,-1.149573
0.670888,0.259069,0.194552
0.517595,-0.017003,-0.306762
1.625669,0.955503,1.824914
-0.211633,0.250902,-0.068778
-0.803250,-0.579265,-0.926395
-1.469742,-1.032968,-1.545710
2.193343,1.564748,1.699796
0.662108,-0.692687,-0.359332
-0.692420,-1.242324,-0.590941
1.693155,0.992553,0.898172
1.356162,0.527849,0.397614
-1.351278,-1.061788,-1.012049
-0.753475,0.174632,-0.228773
-0.132325,-0.129852,-0.197725
-1.070085,-1.410144,-1.106229
-0.096579,-0.464156,-0.276112
0.711962,1.353661,1.082936
-1.373261,-0.195036,-1.088020
0.293001,0.503039,-0.081405
1.168498,0.036707,0.279295
0.400220,0.433557,0.094913
-0.075616,0.138917,0.133865
-0.668102,-0.454901,-1.079796
0.830842,0.296584,0.376139
-1.176920,-1.005160,-1.125786
0.242792,-0.149903,-0.004722
0.025516,-0.554676,-0.202910
1.125611,1.470922,1.234835
-0.582749,0.033233,-0.413407
-0.497736,-0.490880,-0.120278
-1.241865,-0.693216,-1.008686
0.437284,0.500949,0.901222
-0.423816,0.874771,0.257798
-0.862074,-0.167167,-0.450011
-0.766816,-0.119387,-0.419983
0.537105,0.394964,0.521186
-1.102960,-0.989284,-1.160709
-1.014166,-0.018561,-0.387963
0.896361,0.953589,1.389942
-0.166121,-0.531055,-0.070426
0.955445,0.895745,1.236346
-0.359356,0.167144,-0.446035
-0.001126,-1.048704,-0.983709
0.156299,-0.351784,-0.083225
1.387286,1.152483,1.477626
1.305873,-0.048120,0.337737
1.153237,-0.075800,0.206540
-0.628819,-0.575404,-0.178617
-0.986830,-0.445009,-0.455974
0.760791,0.801446,1.102580
1.376760,1.754932,1.471228
1.162819,0.855105,0.822184
0.013049,-0.177192,0.183572
0.727809,-0.144214,0.125777
0.745388,0.329458,0.312572
0.148943,0.458025,0.060433
0.192374,0.511023,0.230174
0.098195,0.201046,0.422431
-0.788097,-0.278110,-0.935004
-0.686052,0.157955,0.009068
-0.701490,-0.453407,-0.765106
-1.599237,-0.435806,-0.964269
0.142860,-0.263321,-0.144723
-0.040573,-0.065047,-0.121481
0.761964,0.292958,0.394422
1.260717,1.278855,1.138293
1.324294,0.419764,0.610148
1.418465,0.832043,1.462544
-0.757081,-1.459795,-1.171195
-1.431959,-0.705183,-1.033678
0.930744,1.274916,0.943851
1.382133,1.422847,1.284179
1.555992,1.495509,1.327351
0.484996,0.759198,0.879120
-1.996704,-1.047846,-1.653469
0.365609,0.563124,-0.189755
0.555441,0.728265,0.676628
1.252075,0.548611,0.746180
1.429629,0.900643,0.936501
0.909633,0.671865,1.040439
-0.587279,-0.578948,-1.402336
-1.029117,-1.503537,-0.840896
0.533961,-0.243732,0.383749
-0.792415,-0.439703,-0.769204
1.475137,1.485484,1.346110
-1.704559,-1.188520,-1.243620
0.566887,1.779232,1.453658
0.319535,-0.236207,-0.204075
-0.206767,0.077734,-0.521099
-0.925116,-0.001980,0.262873
-2.061776,-0.910405,-1.084116
-0.531429,-0.044467,-0.192196
-0.513883,0.175409,-0.047575
1.111737,0.805913,1.114637
-0.782856,0.283442,0.079242
0.452771,0.958519,0.130310
-1.292240,-1.330682,-1.420567
0.480248,0.496958,0.353825
-2.237700,-2.340039,-2.347534
2.095296,2.227602,2.405918
-0.141068,0.013368,-0.585430
-2.794501,-1.281764,-2.291601
-0.717749,-0.557103,-0.825885
-0.875662,-1.541097,-1.228620
-0.655818,0.859611,0.503077
-0.364641,-0.189705,0.229718
-0.662617,-0.963936,-0.929315
-0.816412,0.001393,-0.076585
-1.158683,0.206851,-0.126314
0.821789,0.474034,0.775637
1.201136,0.791174,0.947874
-0.254574,-0.059179,-0.257196
-0.017637,-0.567831,-0.667373
-1.126331,-1.133765,-1.470269
0.071021,0.940677,0.696939
0.229964,0.094871,0.132582
-0.219399,-0.572358,-0.555826
0.396075,0.051232,0.388612
0.308709,0.752508,0.514842
-1.054139,-1.725846,-1.731117
1.193048,0.962458,0.974745
-0.207646,1.085757,0.814585
1.675572,2.188431,1.676234
0.420421,0.580896,0.579489
1.970933,2.037874,1.994470
1.175269,1.476102,1.127526
0.227190,0.096107,0.060534
-0.723107,-0.043778,-0.787014
-0.701567,0.403194,-0.005818
0.533034,-0.258757,-0.351460
0.143126,0.388514,0.612090
-0.589026,-0.231581,-0.402151
0.833060,0.634724,0.542514
0.038771,0.034457,0.384350
0.839010,0.703142,0.447934
-0.975470,-0.525043,-0.929519
0.999472,1.258938,0.606377
0.500996,0.588954,0.946623
1.197570,0.749360,1.490504
0.977431,0.264241,0.047438
-0.084953,-0.295689,-0.456126
-0.165375,0.014821,-0.036313
1.783031,0.895086,1.095556
-0.290568,0.269541,0.036102
0.748434,0.738931,0.707453
-0.381387,0.304793,0.152586
-1.861883,-1.622728,-2.006680
-1.227339,-1.274671,-1.197940
0.405921,0.852173,0.338834
0.701132,0.555769,0.490357
0.409213,0.185191,-0.246226
1.145950,1.151495,1.027912
0.391260,0.604607,0.347447
-0.775235,-1.170546,-0.729348
0.594302,1.108334,0.884943
0.169608,-0.086478,0.052707
-0.575558,0.447118,0.031312
0.472519,-0.336011,-0.651331
0.079370,0.214259,-0.438781
-0.605001,-0.516311,-0.647390
-0.177866,-1.112123,-0.654852
1.413567,1.318601,1.286128
1.380888,0.004653,0.295929
0.188144,-0.014133,-0.005316
0.057267,0.592225,0.280116
-1.433046,-1.268150,-1.100408
1.719365,0.751689,1.355665
1.036342,1.125618,0.923883
0.751952,0.401607,0.526768
-2.274731,-1.794841,-1.903937
0.040923,0.666142,0.543448
-0.127129,-0.672629,0.041350
0.682815,0.248167,0.413582
-0.451031,0.117502,0.240712
-0.231710,-0.778171,-0.907612
0.619413,1.321263,0.849221
-0.773578,-0.649929,-1.340136
-0.574043,0.035434,-0.162965
0.193327,0.571546,0.614516
1.338486,0.860796,0.285256
0.808470,0.326423,0.575727
1.075404,0.731301,1.050205
0.063317,0.400664,0.429896
1.495078,0.553342,0.571278
-1.741182,-1.820457,-1.556811
2.022239,2.157669,2.106288
2.151759,1.138804,1.721297
0.456616,0.496673,0.442893
0.832263,0.481482,0.736105
-0.038000,-0.105533,0.254251
-0.209568,0.568497,0.196064
-0.610870,-0.470194,-0.441233
-0.049012,-0.212721,0.227693
0.555933,0.254296,0.334982
0.419884,0.042189,-0.144352
1.986603,1.055577,1.630800
0.100275,-0.179531,0.362854
-1.488829,-0.210575,-0.335241
1.644311,1.506762,1.776278
-1.220954,-1.027266,-1.807989
-0.559391,0.099254,-0.354954
0.271743,-0.603377,-0.428709
0.417175,0.979862,0.768248
-1.445438,-0.364229,-0.290233
-0.746472,0.595636,-0.265370
-1.480782,-0.530772,-0.238116
0.621713,0.653816,0.526277
1.183380,1.473936,1.127643
-1.221838,-1.168191,-0.936089
0.995660,0.499254,0.975107
0.930779,0.619423,0.938949
-0.659071,0.223091,-0.360610
-1.982579,-1.815745,-1.731870
-1.071256,-1.230910,-1.477116
-0.595258,-0.298411,-0.656324
1.541671,1.437935,1.450968
-0.118303,-0.434352,-0.553921
-1.006828,-0.369571,-0.308649
0.147849,0.787694,0.358305
-1.295348,-0.306513,-0.768183
0.514340,0.536684,0.263687
-0.977664,-0.729664,-0.517581
-0.832524,0.285045,-0.361820
0.375492,0.270546,0.655128
1.750234,1.695341,2.037861
2.197788,2.517592,2.255888
-1.039866,-0.310272,-0.593209
-0.596606,-0.916170,-0.930457
0.515532,-0.258639,0.214746
1.168789,0.669338,0.810777
-2.164084,-1.160109,-1.686943
0.087337,0.283529,0.218906
-0.487143,0.762541,-0.211997
-1.924021,-1.129287,-1.469935
-1.337168,-1.099738,-0.999826
-0.567774,-0.964113,-0.764161
0.058815,0.631389,0.687856
1.008103,0.702641,0.711637
0.354348,-0.505026,-0.299064
0.947539,0.674408,0.448465
0.026724,-0.479162,-0.398531
-0.704946,-0.706281,-0.115979
-0.183750,-0.125529,-0.066154
0.695517,0.034273,0.123110
1.032562,0.478981,0.398571
-0.147875,-0.475572,-0.824052
-0.929115,-1.009025,-1.226179
0.335658,-0.269050,0.200592
0.477981,0.093204,0.119005
1.232719,0.415554,0.454969
-0.678763,-0.181842,-0.635065
-0.667797,-0.367058,-0.292509
0.756160,1.126670,0.954087
-0.407434,0.658148,0.043754
-0.449684,0.023884,-0.258060
1.254140,1.102691,1.825036
-1.371006,-0.589535,-0.536236
2.056203,1.672637,2.266651
-0.612635,-0.403745,-1.012932
0.866728,0.592047,0.656589
-0.108800,-0.586995,-0.589153
0.271362,0.609413,0.637345
-0.262786,-0.199598,0.093069
0.856577,1.324363,1.235176
-0.347324,0.214441,-0.272006
-0.572946,-0.714038,-0.855906
1.813342,1.892685,2.047119
0.029383,-1.259803,-0.528107
-0.675696,0.492126,0.067283
-1.490287,-1.712423,-1.584631
1.865578,1.553461,1.693344
-0.551925,-0.172640,-0.243625
2.061838,2.005145,2.242611
0.398854,0.114850,0.417501
0.142885,-0.972740,-0.519414
0.169844,-0.044753,0.026371
2.215951,1.441585,1.725142
-2.192219,-2.559149,-2.646476
0.214342,0.172725,-0.048537
-0.265204,-0.723568,-0.377036
-0.213093,0.175377,-0.193872
0.149312,-0.018522,0.292792
-0.266254,0.794170,0.354597
0.188131,0.003602,0.323292
-0.023577,0.198691,0.300872
-1.313558,-1.026026,-0.888160
0.381366,-0.544678,-0.317170
0.716054,0.398882,0.648421
-0.542066,-0.002739,0.002897
1.867896,1.608522,1.246874
1.335572,0.788266,1.517697
0.843952,-0.137611,0.934800
0.831821,0.904504,1.159617
0.030097,0.230811,0.392290
1.141372,1.220666,1.365576
1.570755,0.962472,1.108755
0.808024,-0.276571,0.124216
-0.570283,-0.132318,-0.018183
-0.039681,-0.032348,-0.327247
