压力,睡眠质量,情绪
1.790579,1.404515,1.609244
1.344135,0.923140,0.920357
1.489399,0.980334,1.095962
0.685391,0.502915,0.761122
-2.112490,-1.496855,-1.843577
-1.039121,-1.117576,-1.028016
0.306888,0.768347,0.870945
-0.675647,-0.714109,-0.244175
-0.315280,-0.156086,-0.133159
0.612808,-0.601202,-0.080268
-0.169974,-0.226569,-0.536118
-1.219021,-1.403109,-0.853734
0.885659,0.130450,0.581244
0.514903,1.571525,1.189744
-0.248996,-0.049534,-0.103804
0.711266,1.110897,1.059241
0.095047,0.494185,0.566067
1.331361,1.423574,1.655354
0.151208,0.006310,0.547510
1.323928,1.729950,1.640348
-1.873653,-0.888213,-0.756129
0.459219,0.342121,0.706277
-0.397862,-0.146858,-0.265299
-0.859051,-0.669702,-1.245654
1.158501,0.837070,0.991311
0.889087,0.600561,1.183515
-2.006477,-1.213767,-1.763430
0.715496,1.370834,1.133437
0.594148,-0.186703,0.175203
-0.723072,0.065027,0.032426
-0.835304,-0.768830,-0.911763
-1.590575,-0.478571,-1.184188
-0.337532,-0.402995,-0.205809
-0.177488,0.082136,-0.244730
0.796997,0.478476,0.055232
0.269380,-0.676730,0.253826
-1.059908,0.127553,-0.069322
0.238874,-0.304165,0.478067
-0.254045,-0.135890,0.079051
-0.934826,-1.180589,-0.878175
-1.589507,-1.781156,-1.593636
0.624803,0.334892,0.395048
0.446397,0.015722,0.341624
0.556769,-0.194669,-0.060064
-0.728244,-0.527487,-0.928559
0.171080,-0.621197,-0.403954
-1.375364,-0.900018,-0.702709
-0.986583,-0.754271,-1.216918
0.033732,-1.216590,-1.081416
0.262353,-0.077908,0.235589
-1.628818,-0.905968,-1.319631
-1.057545,-1.272054,-1.040602
-0.365393,0.000121,0.150873
0.958519,0.887303,1.054249
-0.813103,-1.078033,-1.161734
0.140575,0.092262,0.496467
0.245393,0.584270,0.671356
-0.249692,-0.612995,-0.459626
0.268020,0.084709,0.151558
-1.344917,-0.366322,-0.645562
-0.655787,-0.887867,-0.888630
1.434360,1.233631,0.824561
1.504765,0.513740,1.135197
0.842921,0.509564,0.850129
1.100392,0.993638,0.346020
-1.825911,-2.480401,-2.065402
-0.948696,-0.931249,-0.411282
-0.311102,-0.003105,-0.464595
2.415642,1.803871,2.026592
-0.313084,-0.480348,-0.468037
0.744904,-0.030858,0.777571
0.378372,0.579093,0.835089
0.356123,0.088083,-0.068226
-0.023531,0.256202,0.246945
-1.200033,-0.649911,-0.179158
-2.701164,-2.114524,-2.536592
1.281842,1.433571,1.369533
-0.616498,-0.728687,-0.529759
-1.867113,-0.711752,-1.356913
0.437961,0.967219,1.284477
0.418789,0.818210,0.516641
0.767892,0.447244,0.158793
1.115716,2.054541,1.521516
-0.918986,-0.567368,-0.512109
-0.874982,-0.491959,-0.884620
-0.318703,-0.234123,-0.177295
0.821640,0.010265,0.503580
-2.102639,-0.824311,-1.698322
0.128206,-0.196457,-0.235702
0.932122,1.112291,1.144914
0.890856,1.203376,1.289092
0.708562,0.797654,0.600382
1.063001,0.398116,0.709601
-2.747183,-2.093567,-2.440194
1.613469,-0.209110,0.738277
0.330405,0.173050,0.391816
1.334651,1.335611,1.223182
-1.174634,-0.940997,-0.890919
-1.753827,-1.522719,-1.738942
1.786378,1.101591,1.512714
-0.926522,-0.040882,-0.253750
-0.310849,-0.244777,0.440108
0.527455,1.298176,0.889009
0.772887,0.255654,0.420166
1.078416,0.863507,0.755301
0.223386,-0.060331,-0.256691
-1.054309,0.299227,-0.379126
0.706633,0.584495,0.832881
0.722556,1.569827,1.452157
-1.815035,-1.480588,-1.525663
1.418685,1.756869,1.532866
-2.487076,-1.681951,-2.152013
1.034416,1.142419,0.824168
-0.634110,-1.053732,-1.052950
0.705509,0.668064,0.294504
0.510194,-0.177424,0.504981
-0.037123,0.102562,0.597834
0.451087,-0.443434,-0.666385
-0.086449,-0.107556,-0.012334
0.713951,1.047572,0.995931
2.185272,1.803467,2.018832
-1.341239,-1.555842,-1.647824
-3.188146,-3.180896,-2.877042
-0.415674,-0.042500,-0.068626
-0.484026,0.451781,0.387695
-0.377568,-0.746271,-0.820043
-0.926439,0.400195,-0.545414
0.872434,0.607457,0.843920
-1.381329,-1.946277,-2.009181
0.450775,-0.464898,0.217751
0.638466,0.831901,0.116540
0.316466,0.286310,0.157810
0.487143,1.082111,0.659347
0.949267,0.065425,0.319249
0.053565,0.096743,0.157802
-0.346497,-0.239167,-0.163228
0.486370,0.268952,0.547841
0.600366,0.228953,0.604014
0.889681,0.441427,0.569271
-1.712393,-1.111352,-0.719157
-0.183532,0.022818,0.356406
-1.065368,-0.619471,-0.891427
0.560965,0.995669,0.780725
0.726709,-0.091943,0.135604
-0.274413,-1.097931,-0.659534
-0.729268,-0.002005,-0.584492
0.596964,-0.053888,-0.030409
-0.133242,-0.283008,-0.873311
1.426467,0.692477,0.866475
1.772953,0.924311,1.583196
1.000711,-0.028634,0.337474
0.232657,-0.121904,-0.008928
1.825575,1.602568,1.775218
0.240720,0.166538,-0.104460
-0.479194,-0.083182,-0.234001
-0.675340,-0.720779,-0.435505
-0.703502,-0.041028,-0.214049
-0.006370,-0.258640,0.135718
0.463087,-0.730118,0.126404
-1.415157,-0.832298,-0.866665
-0.448926,0.069444,-0.351914
0.212851,-0.130624,-0.096474
0.643626,1.050142,1.466982
-0.025923,-0.443492,-0.182214
0.244508,0.506519,0.456002
-1.238522,0.005422,-0.750143
-0.911787,-0.619885,-0.764084
-0.060862,-0.155845,0.097060
0.510551,0.304550,0.391404
0.231303,0.976060,0.522344
-0.848824,-0.392786,-0.661417
-0.236562,0.906508,0.806828
1.511838,1.197913,1.523817
0.544258,0.054082,0.410365
-0.162533,-0.405527,-0.176065
-1.025837,-0.687282,-1.177613
-0.713371,-1.520021,-1.115656
0.006590,-0.232882,0.183309
0.275947,-0.033236,0.012161
0.565563,0.515789,0.828927
0.387986,1.242499,1.064262
-0.370236,-0.231757,-0.038847
-0.511105,-1.319103,-0.980623
2.046989,0.975938,1.670334
-0.556467,-0.258383,-0.817021
-1.291704,-0.857695,-1.021355
-1.638717,-0.334874,-0.642507
-0.353189,0.232806,0.087298
0.939984,1.123046,1.378508
-0.575948,-0.511730,-0.584547
1.477515,1.583821,1.377062
-0.007282,-0.453059,-0.766470
1.109558,1.260838,1.118436
-0.757721,-0.671614,-0.550995
-0.742217,-1.243548,-0.814713
0.091046,0.360350,-0.167127
0.482555,1.036560,1.167555
-0.178957,-0.328571,-0.561052
0.292465,0.986107,0.672306
0.588486,-0.416030,-0.184869
-1.420506,-1.592751,-1.398678
-0.340937,-0.312019,-0.295364
-0.518683,-0.548460,-0.333158
-0.470122,-0.662652,-0.032499
0.406878,0.351653,0.493099
-0.504789,-0.617648,-0.745508
-2.005078,-1.583042,-1.613535
-0.236519,-0.026351,0.473124
-1.064406,-1.078853,-0.876172
0.496332,0.294423,0.658895
0.805697,0.241218,-0.011063
-2.174829,-2.125190,-2.028982
-0.774232,-0.160111,-0.486165
0.353373,1.101258,0.598067
-1.408875,-0.453927,-0.842601
0.782661,0.713721,0.773887
1.049317,0.413757,0.480663
-0.162016,-0.256870,-0.162389
-0.773912,-0.013227,-0.369547
-2.310568,-2.758141,-2.368380
0.814025,0.388188,0.626795
2.002537,1.768834,1.975092
1.795651,0.687816,1.424766
-0.194974,0.075213,0.133625
-1.092676,-0.576378,-0.784723
0.837624,-0.140829,-0.375525
-0.126869,-0.045319,0.076179
0.478132,0.025970,-0.066743
0.302752,0.419976,0.347215
0.093003,0.399997,0.388514
1.028514,0.919429,1.362972
1.065668,0.782264,1.448322
-0.522688,-0.221446,-0.618308
-0.923112,-1.234211,-1.504531
-2.499116,-1.764757,-1.960785
-0.346161,-0.640555,-0.450069
-1.093325,-0.249558,-0.947628
0.419197,0.635057,0.543732
-0.335867,0.105094,0.107972
-0.227429,0.697546,-0.041490
0.811966,0.403388,0.268443
0.397255,0.003575,-0.032201
-0.116690,-0.258484,-0.265445
1.686426,0.379380,1.110390
0.738149,-0.245087,0.050263
-0.415861,0.019449,-0.138080
-0.371253,-0.957447,-0.049116
0.788380,0.014410,0.037104
0.202846,0.091132,-0.060081
-1.121160,-0.990926,-0.839593
0.894713,1.069125,1.295773
1.257232,0.910293,1.173509
1.181389,0.427738,1.271889
1.542749,1.565741,1.651781
2.069198,1.812834,1.322549
1.729959,0.505480,1.024370
0.340662,0.364597,0.183728
-0.208428,-0.503438,0.029710
-1.829602,-1.651440,-1.433318
0.010868,0.942365,0.092859
0.519136,0.425531,0.868068
0.043553,-0.078282,0.252262
-1.888221,-1.279279,-1.620194
-0.286621,0.236485,0.003710
0.645332,0.100930,0.736344
-1.025915,-0.983566,-1.591959
0.165691,0.444320,0.466488
0.431627,-0.456056,0.227040
1.117968,1.277963,1.187351
1.712605,0.396234,1.117155
-0.377826,-0.387362,-0.352601
0.183757,-0.670786,-0.564181
0.215069,-0.377577,-0.383228
0.649375,1.103396,1.135366
0.537403,0.898411,0.563296
1.425006,1.573165,1.056527
-2.331297,-2.356402,-2.309640
0.418021,-0.232913,-0.126464
0.487411,0.511124,0.141906
-0.235229,0.192998,0.043232
-2.264010,-1.984564,-1.866159
-0.060996,-0.332158,-0.217648
-0.710561,-1.063066,-1.241936
1.677955,2.003691,2.017938
0.375291,0.025226,0.475799
-0.795485,-0.541193,0.021000
-2.052645,-1.395029,-1.225522
0.590618,0.966243,0.514385
0.696149,0.011071,0.542527
-0.215777,0.433087,0.250498
0.603675,-0.216788,-0.234232
-0.348271,0.339071,0.149273
1.067215,-0.110599,0.936130
0.992685,0.642602,1.141394
-1.638925,-0.334529,-1.160323
-1.395192,-0.628006,-0.930765
2.031282,1.632518,1.939526
0.932196,0.128330,-0.069095
-1.262381,-1.251067,-1.764224
-1.570380,-0.427068,-0.838005
0.207772,0.381610,0.362377
-1.142315,-0.354496,-1.221270
-0.316707,-0.184798,-0.121170
-0.047279,-0.173961,0.202800
-0.090438,0.320024,0.090349
1.126538,0.918253,1.019511
1.834756,1.199349,1.624936
-0.478918,-1.042246,-0.685206
-1.130659,-0.314507,-1.141555
0.388846,0.492205,0.179325
1.631480,0.838905,1.037179
-0.403215,0.307376,-0.235109
0.850359,0.717157,1.210529
-0.837136,-0.454295,-0.417089
0.021271,0.456838,-0.050306
-1.161942,-0.479006,-0.816481
0.010832,0.154420,0.436102
-0.116455,-0.175811,-0.345940
0.608123,1.417518,1.349235
1.778062,0.877743,1.652824
-0.388895,0.100759,0.269740
-1.999729,-1.441740,-1.610814
-0.202104,0.085884,0.345996
0.299318,0.826234,0.458796
0.201900,-0.014459,0.817849
-0.157423,0.190722,0.123719
1.487715,1.174179,1.643632
0.136215,-0.225301,-0.189297
-0.104796,0.555692,0.441321
-0.777706,-0.188800,-0.261324
-1.746711,-1.439972,-1.841318
0.329232,0.782259,0.313515
0.245418,-0.243917,-0.109534
-1.059331,-0.755999,-0.545732
-0.044372,-0.245673,-0.714581
-0.143851,0.274960,-0.001419
-0.624501,-0.676992,-0.263034
-0.793311,-0.176076,-0.792609
0.405082,0.580787,0.886675
-0.225812,-0.345693,-0.636078
-0.590994,0.501163,-0.210662
-0.861672,-0.975788,-0.974308
-0.129985,-0.795497,0.032746
0.924484,1.075188,0.822904
0.206640,-0.930056,-0.995266
-0.237122,0.579923,-0.167476
0.308490,0.266820,0.563073
1.364385,0.241577,0.284278
0.490414,-0.130942,0.473990
0.260201,-0.634904,-0.255925
0.638530,0.638412,0.628778
-0.158014,-0.774067,-0.438454
0.184068,0.379892,0.061286
-0.488955,-0.494681,-0.451029
-1.550553,-1.323069,-1.771985
0.342836,0.494658,0.838596
0.346680,0.554432,0.163142
-0.287713,0.371502,0.239480
1.035821,0.408186,0.348815
-0.721603,-0.520027,-0.760619
-1.771384,-1.557633,-1.755283
-0.697116,-0.406487,0.371666
-1.540939,-1.467802,-1.501391
0.338036,0.024577,-0.096498
-0.752078,-0.735955,-0.875771
0.984689,0.835963,0.444052
0.963799,0.676137,0.742366
-0.924974,-0.394331,-0.051262
-0.808107,-0.619173,-0.593935
0.534440,0.084231,0.535335
0.979840,0.781529,0.587870
-2.012621,-1.867426,-1.986507
0.281671,0.481749,0.462888
-2.197591,-1.681046,-2.105256
-0.548516,-0.281702,-0.268425
1.093657,0.875572,1.147434
3.009770,2.907612,3.111330
-0.238824,0.023615,-0.126685
-1.247116,-0.836372,-0.673396
-0.513492,-0.705630,-0.706060
0.066070,0.447441,0.190246
-0.670241,-0.604272,-0.198198
-0.924824,-1.410117,-1.548089
-0.426850,-0.396339,-0.919434
0.395577,0.372649,0.121475
-0.169409,-0.527839,-0.268294
-0.881603,-0.676212,-0.373291
-0.670062,-0.504785,-0.769052
-0.413859,-0.317655,0.188315
-0.999426,-0.082278,-0.440978
-0.707145,-1.150780,-1.007985
0.643636,1.467446,0.882941
-0.230321,-0.177642,0.386693
-1.753487,-0.937335,-1.308883
1.024949,0.781382,0.479212
0.416720,-0.571308,0.561204
-1.383133,-1.496482,-1.333041
-0.365379,-0.517903,-0.217244
-0.792099,-0.057609,0.153063
0.676906,-0.218327,0.324105
-0.371652,-0.688025,-0.269009
-0.072773,0.031484,0.006079
-0.189194,0.103992,0.206837
-1.480135,-0.814734,-1.091141
1.405396,0.491775,0.851160
0.662330,-0.335365,0.099628
-0.747384,-0.253639,-0.570181
0.191862,0.850865,0.738577
0.974118,0.509232,0.845740
0.055741,-0.533325,-0.052023
1.556754,0.874788,1.339456
2.917851,2.239527,3.110869
-0.126122,-0.204857,0.142426
-0.582530,0.295826,-0.117692
-0.989409,-0.230101,-0.397903
-2.213575,-1.457333,-1.336020
1.248145,-0.103460,0.152190
-0.353494,-0.593577,0.106729
0.875356,0.338738,0.320993
1.076452,0.380209,0.928789
-1.080970,-0.661269,-0.827169
-0.930814,-0.545849,-0.715115
1.744687,0.384243,0.537547
-0.070065,0.353253,0.456176
-0.660288,-0.454139,-0.923106
-1.045173,-0.552801,-1.182581
-0.141456,0.273394,0.455365
1.507894,0.672041,1.543264
0.685438,1.109259,0.739557
0.181762,0.056337,0.407440
1.588521,1.868238,1.995309
1.395775,0.530076,0.848900
0.334122,0.953009,1.106199
2.776120,1.491292,1.956136
-0.247423,1.101194,0.717008
1.098028,0.292703,0.238702
-0.392997,0.253196,-0.368590
0.902848,0.450797,0.982331
-0.248387,0.183640,0.176191
0.461368,0.302695,0.323427
2.390136,1.127480,2.204896
0.951852,-0.732119,0.510664
0.476841,1.587580,1.275035
-0.774703,-0.505780,-1.050046
0.188229,-1.340005,-0.762191
-1.008003,-0.554297,-0.985554
0.886976,0.965677,0.961051
0.861878,0.245774,0.211326
-0.179635,-0.479922,-0.718675
1.663532,1.154551,0.679360
1.522896,1.667324,1.659730
0.149647,0.154733,-0.536931
0.565511,1.127470,0.806615
-0.588457,0.153690,0.065150
-0.272181,-0.304919,-0.508452
-1.078008,-1.539867,-1.680572
-0.478337,-0.448171,-0.480592
-0.104389,0.190169,-0.176236
-1.660367,-1.132310,-1.287836
0.576814,0.720982,0.353466
1.022128,1.147200,1.065823
-0.007918,0.259887,0.048839
-2.697242,-2.025734,-2.297794
-0.252993,0.082847,0.439056
-1.393386,0.142372,-0.411988
-0.609619,-1.171673,-0.795518
1.451936,1.259999,1.149336
-2.434473,-0.788130,-1.379690
-0.816363,-1.158749,-1.104235
0.829570,1.081249,0.989474
-0.701926,0.076010,-0.040481
-0.778430,-1.283324,-1.231437
2.032406,1.778865,1.760868
0.378387,0.129213,0.082958
0.934302,0.623789,0.596278
0.494670,0.183791,0.360113
0.161697,0.769533,0.417204
1.264025,0.828757,1.452251
1.905347,1.102086,2.227139
-1.683517,-1.401650,-1.684779
-0.035317,-0.195217,-0.043056
-0.043199,-0.570007,-0.047881
-0.429277,-0.536561,-0.573372
0.981061,0.745577,0.541453
0.256888,0.382012,0.853414
1.925473,1.949851,2.145947
1.100266,0.890676,1.070119
1.364702,0.718057,1.411872
-1.199164,-1.344935,-1.055557
-0.806086,-0.417017,-0.587025
-0.723691,-0.565269,-0.921627
1.323119,0.884025,0.911663
-0.967176,-0.545759,-0.352879
-0.937934,-0.396860,-0.408664
-1.121355,-0.650081,-0.894591
2.753027,1.841860,2.736296
-0.142232,-0.500253,-0.404211
0.529888,0.064529,0.546928
-1.140617,-0.374302,-0.614817
0.959258,0.459688,1.239402
-1.773667,-1.914588,-1.632306
-0.979003,-0.105515,-0.441062
-0.731374,-0.983151,-0.936081
0.218872,0.170834,0.185437
-0.793082,-0.309576,-0.720598
1.523998,1.068408,0.840633
0.503223,-0.886813,-0.238178
-0.689603,-0.287478,-0.608384
0.997617,1.361564,1.055132
-0.393285,0.117967,-0.113186
-0.590437,-1.475303,-1.105689
0.895816,1.690693,1.374955
-2.452825,-2.379903,-1.887583
0.734817,-0.024838,0.477738
-0.713095,-0.108228,0.282170
-0.714607,-0.273804,-0.581823
1.958137,1.410863,1.864889
-0.531213,-0.656552,-0.721440
0.955915,1.334569,1.014767
0.279245,0.175808,0.860846
0.382991,-0.514815,-0.386137
-0.250542,0.440770,-0.505275
-0.302716,-0.102258,-0.394826
1.527988,1.627095,0.984955
0.930460,0.937596,0.649344
-0.499681,0.846035,0.050149
-1.045876,-0.887098,-0.940025
-0.584474,-0.401085,-1.089319
0.981495,1.046962,1.379561
1.178692,0.673188,0.312659
0.554944,0.789779,0.657520
-1.616771,-2.605446,-2.307223
0.753779,0.491254,0.843869
1.303578,0.861009,1.143499
0.173557,0.051882,0.456614
1.979803,0.947399,1.251924
-1.320971,-0.471618,-0.950783
0.684808,0.227143,0.534046
-1.020221,-0.614018,-0.467739
1.058542,0.722398,1.104376
0.612861,0.679185,0.749199
1.801356,1.976429,1.976199
0.499709,0.447348,0.457405
-0.404006,0.137894,0.044113
-0.491070,-0.271314,0.251264
-0.250177,-0.428128,-0.429720
-0.510724,-0.428286,-0.570608
1.347109,0.801205,0.887250
1.275638,1.177028,1.333284
-1.496567,-0.994271,-1.831713
0.038360,-0.370280,-0.247343
0.062492,-0.067237,0.248848
-0.781295,-1.309865,-1.256306
0.438250,0.214473,0.359995
1.460851,1.023249,1.831090
0.891809,1.528490,1.373298
1.347068,1.617174,0.837364
-0.718468,-1.019965,-1.322331
0.036508,0.126440,0.015166
-0.765648,-0.426298,-0.803186
0.239430,0.052382,0.158216
0.329451,0.147271,0.131770
0.959838,0.494912,1.030704
1.313492,1.855799,1.311476
0.688977,0.274192,0.377856
-0.860170,-0.431650,-0.537881
-1.352173,-2.211036,-1.765150
0.520020,0.775798,0.717529
1.500521,1.642492,0.862322
-0.024792,-0.543369,-0.310951
-1.527394,-1.325119,-1.451255
2.084756,1.685081,2.104184
0.489405,0.352314,0.624041
0.171142,0.352984,0.352500
-1.167971,-0.961200,-0.949959
0.016216,0.942984,0.977992
0.686884,0.145949,0.707412
0.503021,1.697902,1.302549
-0.679887,0.145041,0.458695
-0.057065,0.376112,0.014382
-0.616007,-0.951444,-1.172902
1.664162,1.619754,1.634266
0.894874,0.928381,0.802835
-0.524335,-1.426840,-1.805440
-1.168470,-1.520229,-1.575239
0.277815,0.373285,0.438172
-0.492817,-0.411622,-0.461508
-0.418307,-0.551054,-0.730893
-1.135214,-0.255175,-0.594493
-1.011409,-1.149876,-1.057567
0.162670,-0.113751,0.211340
-0.266878,-0.510330,-0.605399
2.496514,2.002645,2.462350
0.594253,-0.443752,-0.355743
-1.151695,-1.055023,-1.244705
-1.535636,-1.936328,-1.266353
0.398171,0.122282,-0.074525
-0.396867,0.083718,-0.306147
1.331475,1.302481,0.938145
0.281864,-0.166494,-0.235331
-1.982520,-1.121103,-1.424161
-1.019424,-0.806179,-0.679514
-0.675282,0.207845,-0.150997
0.442037,0.244444,0.226074
-1.052752,-2.223450,-2.128003
0.152818,0.554313,0.175576
-1.336150,-1.164854,-1.697183
0.006185,-0.132770,0.143780
0.370026,0.426980,0.646020
1.461510,0.310703,0.758892
0.245575,0.209230,0.356203
-0.816735,-0.304466,-0.246504
1.493005,1.227136,1.363846
-0.183178,-0.427690,0.088198
0.773567,1.037463,0.624767
-0.612896,-0.927775,-0.906424
0.090778,-0.249216,-0.253541
-0.801268,-0.628888,-0.503669
0.322260,0.373316,-0.077349
0.803828,0.400408,0.996168
-0.494799,0.267934,0.131373
-0.551008,-0.238062,0.161848
0.356818,0.287602,0.303117
-0.825016,-0.447443,-0.763568
-1.517944,-0.696108,-0.827710
0.353196,0.367625,0.671023
-0.107697,-0.980146,-0.845493
-0.128859,0.454553,-0.378091
0.521070,0.424587,-0.084699
0.660750,0.804952,0.825687
-0.161002,-0.315673,0.208252
-1.122669,-1.699227,-1.858855
-0.638587,-1.586466,-1.289024
0.584964,-0.062709,0.091825
0.136403,0.354129,0.843198
-0.549759,0.264114,0.616173
-0.784386,-0.398085,-0.425270
0.617823,-0.093638,0.460347
-0.221652,-0.547219,-0.155933
0.752717,1.207293,0.641366
0.879336,-0.039855,0.537378
-0.312840,0.831899,0.068121
0.949647,1.602772,1.290061
0.138410,1.164248,1.095834
0.267758,0.377782,0.358052
-2.188749,-1.702887,-1.566483
-0.970921,-0.501472,-0.299473
-0.916694,-0.187394,-1.006194
-0.318655,-0.548446,-1.109839
0.114351,-0.470556,0.112035
0.155250,-0.033293,0.402847
0.285747,-0.186131,0.079599
-0.684945,0.140982,-0.071724
0.691363,0.175739,0.649903
1.809288,1.314323,1.774632
-0.353325,0.244193,-0.086069
-0.663668,0.175353,0.126500
-0.685332,-0.375453,-0.603346
0.085468,0.251976,0.258438
-0.525763,-0.876529,-0.676216
-1.730328,-0.699702,-1.369784
-1.456752,-0.387965,-1.038376
1.020190,-0.221043,0.945683
1.281794,1.778729,1.312389
1.599890,0.769593,1.212699
0.226304,0.455729,0.537899
-0.990906,-0.654853,-0.805539
-0.438016,-0.336799,-0.175839
-1.491388,-1.147230,-1.186198
-1.529892,-1.567206,-1.813356
0.255263,0.440598,0.527509
0.539012,0.234286,0.192764
1.958374,0.716150,1.735240
-0.083094,-0.575668,-0.249901
-1.357835,-1.596707,-1.711204
-0.121920,-0.347640,-0.154665
-0.282459,0.044828,-0.363543
-0.491232,-0.699421,-0.538812
0.343750,0.728345,0.506798
-1.214473,-0.909738,-1.279693
0.130721,-0.053197,-0.231462
0.651563,0.464477,1.269792
1.419738,1.691394,1.610149
0.310376,-0.468406,-0.286415
1.043120,1.558368,1.170793
-0.443896,0.169353,0.065403
-0.304290,-0.223831,-0.447564
1.347847,1.535006,1.131757
-1.371584,-1.121346,-1.231165
-0.403140,-0.139359,-0.256862
1.128446,0.519205,0.637791
-0.211112,0.335459,-0.150557
-0.285602,-0.553549,-0.563662
-0.265332,-0.211416,-0.373874
0.117152,0.421576,0.117297
1.086084,1.284354,1.287996
0.924232,0.236385,1.179392
0.011457,0.384589,0.634866
1.092389,0.273679,1.183739
0.341793,-0.835910,-0.535136
0.859120,0.227352,0.982466
-1.028369,-0.302529,-0.524682
1.738553,1.210878,1.717857
0.220213,-0.113350,0.157387
-2.748309,-1.896077,-2.339950
1.659527,1.172869,1.583381
0.005055,0.314488,0.336194
-0.395494,-1.082701,-1.338274
-0.605683,-0.475155,-0.564603
0.439502,0.369790,0.659396
-0.888389,-1.304557,-1.054863
-0.576906,-1.093376,-0.745947
-0.552878,-0.569369,-0.788200
-0.292247,-0.200311,-0.160222
-0.515208,-0.354623,-0.447760
0.852814,0.318796,0.471367
0.271062,-0.108924,-0.160706
0.393037,0.077538,0.478196
0.610602,0.576682,0.693891
-0.093094,0.557145,0.370413
-1.020309,-1.824415,-0.887537
1.805172,1.575122,1.809282
0.927535,0.593698,1.087382
1.612827,1.391840,1.562115
1.034538,1.316949,1.098035
-0.460371,-0.699823,-0.921784
-2.347978,-1.171432,-1.569633
-1.229096,-1.487389,-2.183119
0.636522,0.509365,0.641968
-0.101748,-0.192482,-0.061569
-0.419850,-0.270755,-0.395663
-2.495554,-2.241405,-2.370774
-0.013127,0.209253,-0.255050
-1.081779,0.035899,0.004509
-0.724383,-0.992996,-0.986726
0.850104,0.689896,0.462351
-1.029142,-0.292463,-0.423736
-0.933689,-0.801953,-0.821421
0.185580,0.810103,0.452793
0.872362,0.395809,0.447220
-0.402706,-0.340041,-0.366799
1.467215,0.530474,1.308915
-1.278669,-0.831773,-0.869668
-1.454056,-1.016327,-1.201741
-1.539286,-0.759550,-0.815714
-1.652184,-1.474632,-1.537393
0.336549,-0.105414,0.191837
-0.977789,-0.453206,-0.617701
-1.410192,-0.288539,-0.560266
0.379797,0.580363,0.366893
0.823949,1.500471,0.888059
1.050858,1.013255,1.300351
0.875284,0.872346,1.325000
-0.918103,-0.303026,-0.876621
0.276091,0.937349,0.726633
0.496872,0.966595,0.644045
-0.474883,-0.874857,-0.449854
0.164752,0.515617,0.449265
-1.251618,-0.743455,0.051522
-0.627600,-0.536338,-0.663273
0.371787,-0.626213,0.234175
1.507543,0.285199,1.264526
1.151440,0.623774,0.994920
0.660858,-0.269695,0.113651
0.079700,-0.116088,-0.009322
-0.075231,0.304509,0.155675
-1.447600,-1.303798,-1.021329
-0.835507,-0.543123,-0.921867
-0.802855,-1.096974,-1.027622
0.574759,0.551715,0.476277
0.944948,0.915531,0.409439
0.736573,-0.195866,0.434784
1.182666,0.451923,1.063096
0.072258,-0.583005,-0.511165
-0.982930,-0.433444,-0.344199
-0.049933,0.047050,-0.466840
-0.724837,-0.532242,-0.602094
0.657860,0.396361,0.463083
-0.359087,-0.089943,-0.171276
-0.098532,0.102454,0.046823
